                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.251,                   2.08,                 1.3507,                0.39734,                0.57444,                0.34655,                0.19919,                 1.0181,                 1.7703,                 1.1148,               0.066721,             3.3279e-07,             3.3279e-07
                      1,                 1.2128,                  1.734,                 1.3282,                0.51758,                0.62135,                0.45234,                 0.2728,                 1.0158,                 1.5621,                  1.109,               0.033388,              6.528e-07,              6.528e-07
                      2,                 1.2059,                 1.6124,                 1.3254,                0.56426,                0.62135,                0.49849,                0.30699,                 1.0168,                 1.4734,                 1.1079,             5.5337e-05,             9.5948e-07,             9.5948e-07
                      3,                  1.201,                 1.5664,                 1.3259,                0.59878,                0.61319,                0.52565,                0.32841,                 1.0201,                 1.4347,                 1.1071,                9.4e-07,                9.4e-07,                9.4e-07
                      4,                 1.1985,                 1.5394,                  1.318,                0.62265,                0.61965,                0.55251,                0.35155,                 1.0198,                 1.3976,                 1.1052,                9.4e-07,                9.4e-07,                9.4e-07
                      5,                  1.198,                   1.49,                  1.316,                0.65011,                0.61829,                 0.5806,                0.37563,                 1.0157,                 1.3564,                 1.1025,                9.2e-07,                9.2e-07,                9.2e-07
                      6,                 1.2187,                 1.5017,                 1.3288,                0.66464,                0.61455,                 0.5906,                0.38829,                 1.0167,                 1.3432,                 1.1017,                  9e-07,                  9e-07,                  9e-07
                      7,                 1.2051,                 1.4751,                 1.3199,                0.67035,                0.61829,                0.60606,                0.39969,                 1.0202,                 1.3198,                 1.1038,                8.8e-07,                8.8e-07,                8.8e-07
                      8,                 1.2085,                 1.4519,                 1.3235,                0.67834,                0.62203,                0.61901,                0.41186,                 1.0227,                 1.3022,                 1.1052,                8.6e-07,                8.6e-07,                8.6e-07
                      9,                  1.207,                 1.4429,                 1.3264,                0.69983,                0.61013,                0.62506,                0.41568,                 1.0255,                 1.2893,                 1.1054,                8.4e-07,                8.4e-07,                8.4e-07
                     10,                 1.2038,                 1.4385,                 1.3182,                0.70157,                0.61607,                0.63557,                0.42478,                 1.0219,                 1.2779,                 1.1021,                8.2e-07,                8.2e-07,                8.2e-07
                     11,                 1.2019,                 1.4053,                 1.3155,                0.70335,                0.62746,                0.64667,                0.43493,                 1.0201,                  1.256,                 1.1009,                  8e-07,                  8e-07,                  8e-07
                     12,                 1.2066,                  1.409,                 1.3123,                0.72465,                0.60979,                0.65214,                0.43971,                 1.0246,                 1.2465,                 1.1023,                7.8e-07,                7.8e-07,                7.8e-07
                     13,                 1.2083,                 1.4087,                 1.3139,                0.71473,                0.62084,                0.65389,                0.44189,                 1.0253,                 1.2393,                 1.1039,                7.6e-07,                7.6e-07,                7.6e-07
                     14,                 1.2391,                 1.4051,                 1.3432,                0.74301,                0.61251,                0.66116,                0.44806,                 1.0242,                 1.2274,                 1.1037,                7.4e-07,                7.4e-07,                7.4e-07
                     15,                 1.2145,                 1.3938,                 1.3189,                0.72225,                0.62237,                0.66398,                0.45145,                 1.0263,                 1.2174,                  1.103,                7.2e-07,                7.2e-07,                7.2e-07
                     16,                 1.2148,                   1.38,                 1.3206,                0.72582,                0.62628,                0.66902,                0.45228,                 1.0284,                 1.2112,                  1.103,                  7e-07,                  7e-07,                  7e-07
                     17,                 1.2147,                  1.367,                 1.3135,                0.73051,                0.62471,                0.67397,                0.45727,                  1.028,                  1.203,                 1.1028,                6.8e-07,                6.8e-07,                6.8e-07
                     18,                 1.2204,                 1.3697,                 1.3234,                 0.7329,                0.63143,                0.67573,                0.46056,                  1.029,                  1.199,                 1.1037,                6.6e-07,                6.6e-07,                6.6e-07
                     19,                   1.21,                 1.3939,                 1.3278,                 0.7279,                0.63086,                0.67989,                0.46358,                 1.0266,                 1.1902,                 1.1024,                6.4e-07,                6.4e-07,                6.4e-07
                     20,                 1.2289,                 1.3538,                 1.3192,                0.73313,                0.63358,                0.68441,                0.46832,                 1.0273,                 1.1846,                 1.1023,                6.2e-07,                6.2e-07,                6.2e-07
                     21,                 1.2104,                 1.3649,                 1.3106,                0.73667,                 0.6314,                0.68565,                0.46663,                 1.0297,                 1.1781,                 1.1042,                  6e-07,                  6e-07,                  6e-07
                     22,                 1.2198,                 1.3644,                 1.3271,                0.73206,                0.63494,                 0.6882,                0.47093,                 1.0276,                 1.1758,                 1.1027,                5.8e-07,                5.8e-07,                5.8e-07
                     23,                 1.2267,                 1.3633,                  1.323,                0.73632,                0.63407,                0.69067,                0.47135,                   1.03,                 1.1706,                 1.1033,                5.6e-07,                5.6e-07,                5.6e-07
                     24,                 1.2249,                 1.3489,                 1.3195,                0.74616,                 0.6261,                0.69278,                0.47258,                 1.0295,                 1.1666,                 1.1035,                5.4e-07,                5.4e-07,                5.4e-07
                     25,                 1.2193,                 1.3445,                 1.3233,                 0.7374,                 0.6329,                0.69261,                0.47328,                 1.0326,                 1.1624,                 1.1051,                5.2e-07,                5.2e-07,                5.2e-07
                     26,                 1.2124,                 1.3367,                 1.3127,                0.73257,                0.63936,                0.69529,                0.47536,                 1.0297,                 1.1587,                 1.1034,                  5e-07,                  5e-07,                  5e-07
                     27,                 1.2059,                 1.3336,                  1.315,                0.75364,                0.61965,                 0.6954,                0.47585,                 1.0314,                 1.1546,                 1.1053,                4.8e-07,                4.8e-07,                4.8e-07
                     28,                 1.2091,                 1.3403,                 1.3107,                0.74531,                 0.6366,                0.69755,                0.47813,                 1.0299,                 1.1518,                 1.1033,                4.6e-07,                4.6e-07,                4.6e-07
                     29,                 1.2297,                 1.3563,                 1.3219,                0.76006,                 0.6261,                0.70056,                0.47944,                 1.0316,                 1.1466,                 1.1039,                4.4e-07,                4.4e-07,                4.4e-07
                     30,                 1.2119,                 1.3294,                 1.3153,                0.76253,                0.62431,                0.70011,                0.48012,                 1.0302,                 1.1425,                  1.104,                4.2e-07,                4.2e-07,                4.2e-07
                     31,                 1.2243,                 1.3462,                 1.3301,                0.75779,                0.63061,                0.70411,                0.48219,                 1.0284,                 1.1385,                 1.1011,                  4e-07,                  4e-07,                  4e-07
                     32,                 1.2143,                 1.3198,                 1.3138,                0.75118,                 0.6346,                0.70417,                0.48408,                 1.0294,                 1.1354,                 1.1027,                3.8e-07,                3.8e-07,                3.8e-07
                     33,                 1.2223,                 1.3245,                 1.3193,                 0.7611,                0.63052,                0.70441,                0.48354,                 1.0291,                 1.1335,                 1.1019,                3.6e-07,                3.6e-07,                3.6e-07
                     34,                 1.2213,                 1.3375,                 1.3311,                0.75448,                0.63256,                 0.7038,                  0.482,                 1.0323,                 1.1323,                 1.1046,                3.4e-07,                3.4e-07,                3.4e-07
                     35,                 1.2152,                 1.3399,                  1.318,                 0.7736,                0.62067,                0.70642,                0.48372,                 1.0299,                  1.132,                 1.1027,                3.2e-07,                3.2e-07,                3.2e-07
                     36,                 1.2244,                 1.3455,                 1.3266,                0.75524,                  0.638,                0.70701,                0.48502,                 1.0309,                 1.1265,                 1.1017,                  3e-07,                  3e-07,                  3e-07
                     37,                 1.2234,                 1.3349,                  1.318,                0.75639,                0.63429,                0.70697,                0.48493,                 1.0327,                 1.1278,                 1.1031,                2.8e-07,                2.8e-07,                2.8e-07
                     38,                 1.2139,                 1.3199,                 1.3233,                0.75659,                0.63528,                0.70778,                0.48561,                 1.0334,                 1.1258,                 1.1043,                2.6e-07,                2.6e-07,                2.6e-07
                     39,                 1.2198,                  1.309,                 1.3181,                0.76765,                  0.621,                0.70779,                0.48499,                 1.0322,                 1.1261,                 1.1046,                2.4e-07,                2.4e-07,                2.4e-07
                     40,                  1.219,                 1.4977,                 1.2999,                0.73879,                 0.6441,                0.70007,                0.47363,                 1.0503,                 1.1845,                 1.1193,                2.2e-07,                2.2e-07,                2.2e-07
                     41,                 1.2296,                 1.5221,                 1.3114,                0.73808,                0.64081,                0.69741,                0.47079,                 1.0535,                 1.2117,                  1.122,                  2e-07,                  2e-07,                  2e-07
                     42,                 1.2168,                 1.4948,                 1.3048,                0.74063,                0.64072,                  0.698,                0.47168,                 1.0551,                 1.1905,                 1.1217,                1.8e-07,                1.8e-07,                1.8e-07
                     43,                 1.2186,                  1.495,                 1.3024,                0.74932,                0.63732,                0.69921,                0.47377,                 1.0513,                  1.179,                 1.1196,                1.6e-07,                1.6e-07,                1.6e-07
                     44,                 1.2195,                 1.4769,                 1.3095,                0.74109,                0.64115,                 0.6974,                0.47102,                 1.0529,                 1.1887,                  1.122,                1.4e-07,                1.4e-07,                1.4e-07
                     45,                 1.2283,                 1.5084,                 1.3043,                0.74833,                0.63876,                0.69894,                0.47303,                 1.0527,                 1.1809,                 1.1209,                1.2e-07,                1.2e-07,                1.2e-07
                     46,                 1.2184,                 1.4858,                 1.3014,                0.75017,                0.64072,                0.70137,                 0.4738,                 1.0528,                 1.1731,                 1.1202,                  1e-07,                  1e-07,                  1e-07
                     47,                 1.2154,                 1.4691,                 1.3111,                0.74916,                 0.6363,                0.69945,                0.47374,                 1.0516,                 1.1712,                 1.1194,                  8e-08,                  8e-08,                  8e-08
                     48,                 1.2172,                 1.4732,                 1.3027,                0.74888,                0.64165,                0.69846,                0.47216,                 1.0521,                 1.1782,                 1.1209,                  6e-08,                  6e-08,                  6e-08
                     49,                 1.2122,                 1.4436,                 1.2967,                0.75155,                 0.6363,                0.69945,                 0.4741,                 1.0526,                 1.1654,                 1.1208,                  4e-08,                  4e-08,                  4e-08
